Name,Url,Authority,Started On,Finished On,License Number
Problem Solving (basic),https://www.hackerrank.com/certificates/iframe/6923d436fe00,HackerRank,Aug 2023,,
Problem solving (intermediate),https://www.hackerrank.com/certificates/b4e7006f3b07,HackerRank,Aug 2023,,
Data Analysis with Python,https://courses.cognitiveclass.ai/certificates/306fb21610d248d885f233abad38ba62,IBM,Mar 2024,,306fb21610d248d885f233abad38ba62
AWS Academy Graduate - AWS Academy Introduction to Cloud Semester 1,https://www.credly.com/badges/0b2c659e-7b96-4114-93da-4b0cf2765cf7/linked_in_profile,Amazon Web Services (AWS),Apr 2024,,
Data Analysis with Python,https://www.coursera.org/account/accomplishments/records/QX0ODQYLUEN3,IBM,Sep 2024,,QX0ODQYLUEN3
