Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
Learning LinkedIn (2021),"By harnessing the power of the LinkedIn platform, you can tap into an expansive network of professionals, companies, and groups in your industry and beyond. In this course, discover how to make the most of your LinkedIn account. Follow Oliver Schinkten as he explains how to build a stellar LinkedIn profile, and shares how to expand your network, look for new career opportunities, join groups, share updates, and contribute your own thought leadership. He goes over how to use Creator Mode and Cover Story, as well as how to add your preferred pronouns to your LinkedIn profile. Plus, Oliver explores privacy settings and account types. Upon wrapping up this course, you'll have the tools you need to grow your career by leveraging LinkedIn.",Course,2023-08-20 17:09 UTC,N/A,false,N/A,
Java Practice: Collections,"<p>Java is a versatile, object-oriented programming language that is designed to run on a wide variety of platforms. Any machine that has a Java Virtual Machine, or JVM, can run Java apps. For that reason, Java is commonly used in a wide range of applications, including web, mobile, and desktop. Many of the apps you know and love were likely written in Java! In this course, instructor Todd Perkins, who has developed more than a dozen popular apps and games, uses a series of practical challenges to test your knowledge of Java collections and improve your programming problem-solving skills.</p>
 
<p>This course includes Code Challenges powered by CoderPad. Code Challenges are interactive coding exercises with real-time feedback, so you can get hands-on coding practice alongside the course content to advance your programming skills.</p>",Course,2024-05-08 05:52 UTC,N/A,false,N/A,
Pair Programming with AI,"<p>If you’re a programmer, you’re probably curious (and maybe a little apprehensive) about what artificial intelligence can do for your work. In this course, Morten Rand-Hendriksen shows you how you can supercharge your software development with the help of an AI pair programmer. Morten shares practical strategies and hands-on practice on how to leverage AI tools like ChatGPT and GitHub Copilot to increase productivity and write better code. He demonstrates how to employ AI to address common tasks, how different AI tools differ, and offers an understanding of what is possible, how AI tools can fit into your work, and—importantly—where the current limits and guardrails are.</p>
<p>This course is integrated with GitHub Codespaces, an instant cloud developer environment that offers all the functionality of your favorite IDE without the need for any local machine setup. With GitHub Codespaces, you can get hands-on practice from any machine, at any time—all while using a tool that you’ll likely encounter in the workplace.</p>",Course,2024-04-02 04:59 UTC,N/A,false,N/A,
Become a Data Analyst,"Data analysts examine information using data analysis tools and help their teams develop insights and business strategies. You’ll need skills in math, statistics, communications, and working with tools designed to do data analytics and data visualization. Explore this high-demand career.",Learning Path,2023-09-29 18:03 UTC,N/A,true,N/A,
